Country/dependency,Capital,Population,%ofcountry,Source
Denmark,Copenhagen,"638,117",10.90%,[65]2021
Greece,Athens,"637,798",6.10%,[66]2021
Latvia,Riga,"605,802",32.30%,[67]2021
Djibouti,Djibouti City,"604,013",54.60%,2012
Ireland,Dublin,"588,233",11.80%,[68]2022
Morocco,Rabat,"577,827",1.60%,2014
Lithuania,Vilnius,"576,195",20.70%,[69]2022
El Salvador,San Salvador,"570,459",9.00%,2019
Albania,Tirana,"557,422",19.50%,2011
North Macedonia,Skopje,"544,086",25.90%,[70]2015
South Sudan,Juba,"525,953",4.90%,2017
Paraguay,Asunción,"521,559",7.80%,2020
Portugal,Lisbon,"509,614",5.00%,[71]2020
Guinea-Bissau,Bissau,"492,004",23.90%,2015
Slovakia,Bratislava,"440,948",8.10%,[72]2020
Estonia,Tallinn,"438,341",33.00%,[73]2021
Australia,Canberra,"431,380",1.70%,[74]2020
Namibia,Windhoek,"431,000",17.00%,2020
Tanzania,Dodoma,"410,956",0.60%,2012
Papua New Guinea,Port Moresby,"364,145",3.70%,2011
 Ivory Coast,Yamoussoukro,"361,893",1.30%,2020
Lebanon,Beirut,"361,366",6.50%,2014
Bolivia,Sucre,"360,544",3.00%,[75]2022
Puerto Rico (US),San Juan,"342,259",10.50%,2020
Costa Rica,San José,"342,188",6.60%,2018
Lesotho,Maseru,"330,760",14.50%,2016
Cyprus,Nicosia,"326,739",26.30%,2016
Equatorial Guinea,Malabo,"297,000",18.20%,2018
Slovenia,Ljubljana,"285,604",13.50%,[76]2021
East Timor,Dili,"277,279",21.00%,[77]2015
Bosnia and Herzegovina,Sarajevo,"275,524",8.40%,2013
Bahamas,Nassau,"274,400",67.30%,2016
Botswana,Gaborone,"273,602",10.60%,2020
Benin,Porto-Novo,"264,320",2.00%,2013
India,New Delhi,"249,998",0.00%,2011
Suriname,Paramaribo,"240,924",39.30%,2012
Sahrawi Arab Democratic Republic,Laayoune (claimed),"217,732",—,2014
New Zealand,Wellington,"217,000",4.20%,[78]2021
Maldives,Malé,"211,908",40.60%,[79]2022
Bahrain,Manama,"200,000",13.70%,2020
Kosovo,Pristina,"198,897",12.00%,2011
Montenegro,Podgorica,"190,488",30.30%,[80]2020
Belgium,Brussels,"187,686",1.60%,[81]2022
Cape Verde,Praia,"159,050",27.10%,2017
Mauritius,PortLouis,"147,066",11.30%,2018
Curaçao (Netherlands),Willemstad,"136,660",71.80%,2011
Burundi,Gitega,"135,467",1.10%,2020
Switzerland,Bern (defacto),"134,591",1.50%,[82]2020
Transnistria,Tiraspol,"133,807",38.50%,2015
Iceland,Reykjavík,"133,262",36.00%,[83]2021
Luxembourg,Luxembourg City,"124,509",19.50%,[84]2021
Guyana,Georgetown,"118,363",14.70%,2012
Bhutan,Thimphu,"114,551",14.70%,2017
Comoros,Moroni,"111,326",13.50%,2016
Barbados,Bridgetown,"110,000",39.10%,2014
Sri Lanka,Sri Jayawardenepura Kotte,"107,925",0.50%,2012
Brunei,Bandar Seri Begawan,"100,700",22.60%,2007
Eswatini,Mbabane,"94,874",8.00%,2010
New Caledonia (France),Nouméa,"94,285",32.80%,2019
Fiji,Suva,"93,970",10.20%,2017
Solomon Islands,Honiara,"92,344",13.00%,2021
Gambia,Banjul,"73,000",2.80%,2013
São Tomé and Príncipe,São Tomé,"71,868",32.20%,2015
Kiribati,Tarawa,"70,480",54.70%,2020
Vanuatu,Port Vila,"51,437",16.10%,2016
Northern Mariana Islands (USA),Saipan,"47,565",96.10%,2017
Samoa,Apia,"41,611",19.00%,2021
Palestine,Ramallah (defacto),"38,998",0.80%,2017
Monaco,Monaco,"38,350",100%,[85]2020
Jersey (UK),Saint Helier,"37,540",34.20%,2018
Trinidad and Tobago,Port of Spain,"37,074",2.40%,2011
Cayman Islands (UK),George Town,"34,399",50.50%,2021
Gibraltar (UK),Gibraltar,"34,003",100%,2020
Grenada,St. George's,"33,734",27.10%,2012
Aruba (Netherlands),Oranjestad,"28,294",26.60%,2010
Isle of Man (UK),Douglas,"27,938",33.20%,2011
Marshall Islands,Majuro,"27,797",66.10%,2011
Tonga,Nukuʻalofa,"27,600",26.00%,2022
Seychelles,Victoria,"26,450",24.80%,2010
French Polynesia (France),Papeete,"26,926",8.90%,2017
Andorra,Andorrala Vella,"22,873",28.90%,[86]2022
Faroe Islands(Denmark),Tórshavn,"22,738",43.00%,[87]2022
Antigua and Barbuda,St. John's,"22,219",23.80%,2011
Belize,Belmopan,"20,621",5.20%,2016
Saint Lucia,Castries,"20,000",11.10%,2013
Guernsey (UK),Saint Peter Port,"18,958",30.10%,2019
Greenland (Denmark),Nuuk,"18,800",33.40%,2021
Dominica,Roseau,"14,725",20.30%,2011
U.S.Virgin Islands (US),Charlotte Amalie,"14,477",14.50%,2020
Saint Kitt sand Nevis,Basseterre,"14,000",29.40%,2018
Saint Vincent and the Grenadines,Kingstown,"12,909",12.40%,2012
British Virgin Islands (UK),RoadTown,"12,603",40.50%,2012
Åland (Finland),Mariehamn,"11,736",39.00%,[64]2021
Micronesia,Palikir,"6,647",5.90%,2010
Tuvalu,Funafuti,"6,320",56.40%,2017
Malta,Valletta,"5,827",1.10%,2019
Liechtenstein,Vaduz,"5,774",14.80%,[88]2021
Saint Pierre and Miquelon (France),Saint-Pierre,"5,394",91.70%,2019
Cook Islands,Avarua,"4,906",28.90%,2016
San Marino,City of San Marino,"4,061",12.00%,[89]2021
Turks and Caicos Islands (UK),Cockburn Town,"3,720",8.20%,2016
American Samoa (USA),Pago Pago,"3,656",8.10%,2010
Saint Martin (France),Marigot,"3,229",10.10%,2017
Saint Barthélemy (France),Gustavia,"2,615",24.10%,2010
Falkland Islands (UK),Stanley,"2,460",65.40%,2016
Svalbard (Norway),Longyearbyen,"2,417",82.20%,2020
Sint Maarten (Netherlands),Philipsburg,"1,894",4.30%,2011
Christmas Island (Australia),Flying Fish Cove,"1,599",86.80%,2016
Anguilla (UK),The Valley,"1,067",6.80%,2011
Guam (US),Hagåtña,"1,051",0.60%,2010
Wallis and Futuna (France),Mata Utu,"1,029",8.90%,2018
Bermuda (UK),Hamilton,854,1.30%,[90]2016
Nauru,Yaren (defacto),747,6.00%,2011
Saint Helena (UK),Jamestown,629,11.60%,2016
Niue,Alofi,597,30.80%,2017
Tokelau (NZ),Atafu,541,29.30%,2016
Vatican City,Vatican City (city-state),453,100%,[91]2019
Montserrat (UK),Brades (defacto),449,,2011
Norfolk Island (Australia),Kingston,341,,2015
Cocos (Keeling) Islands (Australia),West Island,134,24.60%,2011
Pitcairn Islands (UK),Adamstown,40,100.00%,2021
South Georgia and the South Sandwich Islands (UK),King Edward Point,22,73.30%,2018
Palau,Ngerulmud,0,0.00%,2010
